# {"t_start": 1549861943.3181171, "env_id": "graph-search-v0"} 
r,l,t
-1,1,2.31268
-1,1,2.315
-1,1,2.317292
-1,1,2.31962
-1,1,2.321972
-1,1,2.324283
-1,1,2.327418
-1,1,2.330827
-1,1,2.33337
-1,1,2.33584
-1,1,2.340032
-1,1,2.342567
-1,1,2.344933
-1,1,2.347295
-1,1,2.35231
-1,1,2.355213
-1,1,2.357485
-2,2,2.361851
-2,2,2.366265
-2,2,2.370772
-11,10,2.396239
-1,1,2.398489
-1,1,2.400747
-1,1,2.402977
-1,1,2.405744
-1,1,2.408069
-1,1,2.410283
-1,1,2.412482
-1,1,2.415581
-1,1,2.418013
-1,1,2.42027
-1,1,2.422668
-1,1,2.425064
-1,1,2.427306
-1,1,2.429531
-3,3,2.436662
-1,1,2.439556
-1,1,2.44211
-1,1,2.444566
-1,1,2.447116
-1,1,2.449561
-1,1,2.452283
-1,1,2.454781
-1,1,2.457017
-1,1,2.459221
-1,1,2.46144
-1,1,2.463708
-1,1,2.465953
-1,1,2.468686
-2,2,2.47332
-2,2,2.477728
-2,2,2.482877
-1,1,2.485277
-1,1,2.487567
-1,1,2.489819
-1,1,2.49211
-1,1,2.494439
-1,1,2.496749
-1,1,2.499525
-1,1,2.501809
-1,1,2.50401
-1,1,2.506199
-1,1,2.508389
-1,1,2.510607
-1,1,2.512857
-1,1,2.515606
-1,1,2.518135
-1,1,2.520489
-1,1,2.522926
-1,1,2.525233
-1,1,2.527534
-1,1,2.530028
-1,1,2.532778
-1,1,2.535298
-1,1,2.537728
-3,3,2.544465
-1,1,2.546726
-1,1,2.549136
-1,1,2.551443
-1,1,2.553706
-1,1,2.556248
-1,1,2.558546
-1,1,2.560822
-1,1,2.563082
-1,1,2.565299
-1,1,2.567557
-1,1,2.569779
-1,1,2.572102
-1,1,2.57433
-1,1,2.576562
-1,1,2.578813
-1,1,2.581419
-1,1,2.584349
-1,1,2.586693
-1,1,2.588923
-1,1,2.591123
-1,1,2.593662
-1,1,2.595934
-1,1,2.59876
-1,1,2.60143
-1,1,2.603779
-1,1,2.60597
-1,1,2.608157
-1,1,2.610416
-1,1,2.612635
-1,1,2.614853
-1,1,2.617104
-1,1,2.620155
-1,1,2.623172
-1,1,2.625682
-1,1,2.629692
-1,1,2.63483
-1,1,2.638077
-1,1,2.640356
-1,1,2.642585
-1,1,2.644799
-1,1,2.647
-1,1,2.649256
-1,1,2.651552
-1,1,2.653826
-1,1,2.656086
-1,1,2.658344
-1,1,2.661155
-1,1,2.663561
-1,1,2.666553
-1,1,2.668882
-1,1,2.671094
-1,1,2.673289
-1,1,2.675468
-1,1,2.677705
-1,1,2.679927
-1,1,2.682161
-1,1,2.684394
-1,1,2.687645
-1,1,2.690172
-1,1,2.692554
-1,1,2.695444
-1,1,2.697746
-1,1,2.699972
-1,1,2.702164
-1,1,2.704674
-1,1,2.706975
-1,1,2.7092
-1,1,2.711412
-1,1,2.713821
-1,1,2.716245
-2,2,2.721077
-1,1,2.723475
-1,1,2.725742
-1,1,2.727993
-1,1,2.731035
-1,1,2.733526
-1,1,2.735849
-1,1,2.738156
-1,1,2.740435
-1,1,2.74269
-1,1,2.745039
-1,1,2.747642
-1,1,2.750006
-2,2,2.754766
-1,1,2.757006
-1,1,2.759226
-1,1,2.761435
-1,1,2.763774
-1,1,2.766724
-1,1,2.769014
-1,1,2.771318
-1,1,2.773526
-1,1,2.775752
-1,1,2.77801
-1,1,2.780263
-1,1,2.782878
-1,1,2.785194
-1,1,2.787421
-1,1,2.789628
-1,1,2.791829
-1,1,2.794326
-1,1,2.79672
-1,1,2.799632
-1,1,2.801941
-1,1,2.804171
-1,1,2.806565
-1,1,2.808981
-1,1,2.811271
-1,1,2.813563
-1,1,2.816039
-1,1,2.818318
-1,1,2.820546
-1,1,2.822768
-1,1,2.825176
-1,1,2.827544
-1,1,2.830252
-1,1,2.833048
-1,1,2.835492
-1,1,2.837732
-1,1,2.839992
-1,1,2.842194
-1,1,2.844549
-1,1,2.846992
-1,1,2.849994
-1,1,2.852284
-1,1,2.854509
-1,1,2.856726
-1,1,2.858936
-1,1,2.861194
-1,1,2.863501
-1,1,2.865756
-1,1,2.869481
-1,1,2.872398
-1,1,2.874914
-1,1,2.879244
-1,1,2.883216
-1,1,2.888379
-1,1,2.890725
-1,1,2.892947
-1,1,2.895173
-1,1,2.89737
-1,1,2.899675
-1,1,2.901964
-1,1,2.904213
-1,1,2.906467
-1,1,2.909101
-1,1,2.911387
-1,1,2.913992
-1,1,2.916767
-1,1,2.919008
-1,1,2.921216
-1,1,2.923439
-1,1,2.925689
-1,1,2.928088
-1,1,2.930386
-1,1,2.932724
-1,1,2.935334
-1,1,2.937606
-1,1,2.940739
-1,1,2.943708
-1,1,2.946704
-1,1,2.949194
-1,1,2.951584
-1,1,2.953783
-1,1,2.955979
-1,1,2.958223
-1,1,2.960464
-1,1,2.962727
-1,1,2.96497
-1,1,2.967204
-1,1,2.969701
-1,1,2.972406
-2,2,2.97702
-1,1,2.979235
-1,1,2.982599
-1,1,2.985075
-1,1,2.987343
-1,1,2.989657
-1,1,2.991938
-1,1,2.994326
-1,1,2.996705
-1,1,2.999085
-1,1,3.001848
-1,1,3.004281
-1,1,3.006527
-1,1,3.008811
-1,1,3.011058
-1,1,3.013363
-3,2,3.018404
-1,1,3.020662
-1,1,3.022935
-1,1,3.025164
-1,1,3.027438
-1,1,3.029712
-1,1,3.0325
-1,1,3.034898
-1,1,3.037142
-1,1,3.039339
-1,1,3.041532
-1,1,3.043774
-1,1,3.046014
-1,1,3.049083
-1,1,3.051458
-1,1,3.053713
-1,1,3.055934
-1,1,3.058136
-1,1,3.060414
-1,1,3.06267
-1,1,3.067675
-1,1,3.071794
-1,1,3.074837
-1,1,3.077312
-1,1,3.079921
-1,1,3.082557
-1,1,3.08598
-1,1,3.088717
-1,1,3.091469
-1,1,3.094198
-1,1,3.096671
-1,1,3.099644
-1,1,3.102001
-1,1,3.104264
-1,1,3.106484
-2,2,3.110833
-1,1,3.113099
-1,1,3.115344
-1,1,3.117617
-1,1,3.119969
-1,1,3.122225
-1,1,3.124755
-2,2,3.130812
-1,1,3.133795
-1,1,3.138023
-1,1,3.140351
-2,2,3.144952
-1,1,3.147224
-1,1,3.152893
-1,1,3.1562
-1,1,3.158576
-1,1,3.160821
-1,1,3.163404
-1,1,3.166394
-1,1,3.169008
-1,1,3.171439
-1,1,3.173844
-1,1,3.176138
-1,1,3.178342
-1,1,3.180604
-1,1,3.182959
-1,1,3.185242
-1,1,3.187613
-1,1,3.189913
-1,1,3.192131
-1,1,3.194388
-1,1,3.196642
-1,1,3.198878
-1,1,3.201115
-1,1,3.20334
-1,1,3.205558
-1,1,3.210328
-1,1,3.21431
-1,1,3.217702
-1,1,3.220341
-1,1,3.222776
-1,1,3.225343
-1,1,3.227817
-1,1,3.230291
-1,1,3.23327
-1,1,3.235555
-1,1,3.23778
-1,1,3.239992
-1,1,3.242194
-1,1,3.24445
-1,1,3.246695
-1,1,3.249258
-1,1,3.251564
-1,1,3.253777
-1,1,3.255989
-1,1,3.258201
-1,1,3.260458
-1,1,3.262719
-1,1,3.266138
-1,1,3.268791
-1,1,3.27114
-1,1,3.273355
-1,1,3.275546
-1,1,3.277766
-1,1,3.280547
-1,1,3.282976
-1,1,3.285446
-1,1,3.287957
-1,1,3.290409
-1,1,3.292681
-1,1,3.294893
-1,1,3.297102
-1,1,3.299834
-1,1,3.302298
-1,1,3.304664
-1,1,3.307093
-1,1,3.30951
-1,1,3.312021
-1,1,3.31457
-1,1,3.317059
-1,1,3.319509
-1,1,3.321772
-1,1,3.324025
-1,1,3.326281
-1,1,3.32855
-1,1,3.330806
-1,1,3.333152
-1,1,3.335533
-1,1,3.337803
-1,1,3.340067
-1,1,3.342449
-1,1,3.344906
-1,1,3.347508
-1,1,3.350357
-1,1,3.352804
-1,1,3.355062
-1,1,3.357274
-1,1,3.359477
-1,1,3.361785
-1,1,3.364301
-1,1,3.366552
-1,1,3.368768
-1,1,3.370973
-1,1,3.373175
-1,1,3.375717
-1,1,3.377969
-1,1,3.380212
-1,1,3.383114
-1,1,3.385997
-1,1,3.388972
-1,1,3.391776
-1,1,3.395872
-1,1,3.400511
-1,1,3.405017
-1,1,3.407392
-1,1,3.40964
-1,1,3.411867
-1,1,3.414602
-1,1,3.417125
-1,1,3.41941
-1,1,3.421647
-1,1,3.423863
-1,1,3.426064
-1,1,3.428317
-1,1,3.43057
-1,1,3.432815
-2,2,3.437846
-1,1,3.440257
-1,1,3.442691
-1,1,3.444972
-1,1,3.447213
-1,1,3.449427
-1,1,3.451723
-1,1,3.453959
-1,1,3.456171
-1,1,3.458378
-1,1,3.460616
-1,1,3.462864
-1,1,3.465208
-1,1,3.467962
-1,1,3.470237
-1,1,3.472475
-1,1,3.477039
-1,1,3.481501
-2,2,3.486865
-1,1,3.489299
-1,1,3.491762
-1,1,3.494055
-1,1,3.496945
-1,1,3.499513
-1,1,3.501942
-1,1,3.504177
-1,1,3.506385
-1,1,3.508666
-1,1,3.510933
-1,1,3.513204
-1,1,3.516176
-1,1,3.518498
-1,1,3.520908
-1,1,3.523184
-1,1,3.525403
-1,1,3.527828
-1,1,3.530683
-1,1,3.533144
-1,1,3.535379
-1,1,3.538987
-1,1,3.542812
-3,2,3.548039
-1,1,3.550481
-1,1,3.552801
-1,1,3.555009
-1,1,3.55727
-1,1,3.56123
-1,1,3.56599
-1,1,3.569003
-1,1,3.571645
-1,1,3.574126
-1,1,3.576566
-1,1,3.578847
-1,1,3.581055
-1,1,3.583415
-1,1,3.585894
-1,1,3.588144
-1,1,3.590678
-1,1,3.592981
-1,1,3.595207
-1,1,3.597425
-1,1,3.599706
-1,1,3.602027
-1,1,3.604271
-1,1,3.60711
-1,1,3.609451
-1,1,3.611685
-1,1,3.614199
-1,1,3.616541
-1,1,3.618776
-1,1,3.621484
-1,1,3.624229
-1,1,3.626485
-1,1,3.628708
-1,1,3.630917
-1,1,3.633124
-1,1,3.635397
-1,1,3.638054
-1,1,3.640748
-1,1,3.643203
-1,1,3.645561
-1,1,3.647819
-1,1,3.6508
-1,1,3.653688
-1,1,3.656207
-1,1,3.660429
-1,1,3.662768
-1,1,3.665056
-1,1,3.667371
-1,1,3.669622
-1,1,3.671904
-1,1,3.676796
-1,1,3.679732
-1,1,3.682218
-1,1,3.685846
-1,1,3.689059
-1,1,3.692411
-1,1,3.695825
-1,1,3.699472
-1,1,3.701868
-2,2,3.706828
-1,1,3.709116
-1,1,3.711357
-1,1,3.714377
-1,1,3.716897
-1,1,3.719179
-1,1,3.721807
-1,1,3.724163
-1,1,3.726407
-1,1,3.728794
-1,1,3.731006
-1,1,3.733214
-1,1,3.735474
-1,1,3.73776
-2,2,3.743489
-1,1,3.745737
-1,1,3.748007
-1,1,3.750274
-1,1,3.752976
-2,2,3.75847
-1,1,3.760761
-1,1,3.762984
-1,1,3.765198
-1,1,3.767406
-1,1,3.769679
-1,1,3.771953
-1,1,3.774225
-1,1,3.776499
-1,1,3.77879
-1,1,3.781144
-1,1,3.783988
-1,1,3.786363
-1,1,3.789019
-1,1,3.791527
-1,1,3.793799
-1,1,3.796021
-1,1,3.798242
-1,1,3.800501
-1,1,3.802762
-1,1,3.805023
-1,1,3.808418
-1,1,3.810989
-1,1,3.813498
-1,1,3.815969
-1,1,3.818229
-1,1,3.820682
-1,1,3.823074
-1,1,3.8255
-1,1,3.827759
-1,1,3.83003
-1,1,3.832255
-1,1,3.834664
-1,1,3.837195
-1,1,3.839484
-1,1,3.841708
-1,1,3.843999
-1,1,3.846528
-1,1,3.848793
-1,1,3.851212
-1,1,3.853498
-1,1,3.85623
-1,1,3.858648
-1,1,3.860981
-1,1,3.86324
-1,1,3.865541
-1,1,3.867938
-1,1,3.870327
-1,1,3.873019
-1,1,3.875466
-1,1,3.877968
-1,1,3.880229
-1,1,3.88246
-1,1,3.88468
-2,2,3.889722
-1,1,3.892082
-1,1,3.894344
-1,1,3.896607
-1,1,3.898834
-1,1,3.901052
-1,1,3.903436
-1,1,3.905862
-1,1,3.909547
-1,1,3.912334
-1,1,3.915024
-1,1,3.919179
-1,1,3.92252
-1,1,3.927119
-1,1,3.929667
-1,1,3.931944
-1,1,3.934863
-1,1,3.937349
-1,1,3.940273
-1,1,3.942757
-1,1,3.945171
-1,1,3.947552
-1,1,3.949766
-1,1,3.952047
-1,1,3.954615
-1,1,3.956878
-1,1,3.959111
-1,1,3.961327
-1,1,3.963844
-1,1,3.966112
-1,1,3.968327
-2,2,3.974456
-1,1,3.977041
-1,1,3.979463
-1,1,3.98187
-1,1,3.984181
-1,1,3.986479
-1,1,3.989022
-1,1,3.991361
-1,1,3.993602
-1,1,3.995815
-1,1,3.998022
-1,1,4.000625
-1,1,4.003155
-1,1,4.006205
-1,1,4.008779
-1,1,4.011231
-1,1,4.01367
-1,1,4.01592
-1,1,4.018295
-1,1,4.020624
-1,1,4.02294
-1,1,4.025224
-1,1,4.027493
-1,1,4.029761
-1,1,4.032361
-1,1,4.034649
-1,1,4.037096
-1,1,4.040006
-1,1,4.042346
-1,1,4.044575
-1,1,4.046785
-1,1,4.048982
-1,1,4.051258
-1,1,4.053499
-1,1,4.055762
-1,1,4.05804
-1,1,4.060299
-1,1,4.063466
-1,1,4.068251
-1,1,4.071538
-1,1,4.074176
-1,1,4.076624
-1,1,4.079074
-1,1,4.081465
-1,1,4.083782
-1,1,4.086129
-1,1,4.088416
-1,1,4.090651
-1,1,4.093069
-1,1,4.095434
-1,1,4.097683
-1,1,4.099942
-1,1,4.102358
-1,1,4.104982
-1,1,4.107764
-1,1,4.110152
-1,1,4.112493
-1,1,4.114898
-1,1,4.117173
-1,1,4.119524
-1,1,4.122019
-1,1,4.12483
-1,1,4.127156
-1,1,4.129684
-1,1,4.132022
-1,1,4.134262
-1,1,4.136484
-1,1,4.139152
-1,1,4.141535
-1,1,4.143783
-1,1,4.146073
-1,1,4.148295
-1,1,4.150513
-1,1,4.15279
-1,1,4.15585
-1,1,4.158675
-1,1,4.160965
-1,1,4.163189
-1,1,4.166113
-1,1,4.169005
-1,1,4.171863
-1,1,4.176162
-1,1,4.178508
-1,1,4.18075
-1,1,4.183005
-1,1,4.185275
-1,1,4.187594
-1,1,4.192371
-1,1,4.195796
-1,1,4.198084
-1,1,4.20033
-1,1,4.202623
-1,1,4.204949
-1,1,4.207803
-1,1,4.210434
-1,1,4.213018
-1,1,4.215513
-1,1,4.218332
-1,1,4.220831
-1,1,4.223742
-1,1,4.226075
-1,1,4.228611
-1,1,4.230883
-1,1,4.233104
-1,1,4.235312
-1,1,4.237555
-1,1,4.239851
-1,1,4.242147
-1,1,4.244421
-1,1,4.246696
-1,1,4.249314
-1,1,4.251575
-1,1,4.253814
-1,1,4.256913
-1,1,4.259233
-1,1,4.261489
-1,1,4.264095
-1,1,4.26646
-1,1,4.268708
-1,1,4.271061
-1,1,4.273539
-1,1,4.275819
-1,1,4.278337
-1,1,4.280731
-1,1,4.282972
-1,1,4.285224
-1,1,4.287795
-1,1,4.290774
-1,1,4.293096
-1,1,4.295404
-1,1,4.297779
-1,1,4.300033
-1,1,4.302272
-1,1,4.304489
-1,1,4.308542
-1,1,4.312786
-1,1,4.315595
-1,1,4.318011
-1,1,4.320495
-1,1,4.322979
-1,1,4.325249
-1,1,4.327519
-1,1,4.329911
-1,1,4.332178
-1,1,4.334669
-1,1,4.337127
-1,1,4.33945
-1,1,4.341981
-1,1,4.344285
-1,1,4.34651
-1,1,4.348727
-1,1,4.350936
-1,1,4.353195
-1,1,4.35617
-1,1,4.358611
-1,1,4.360856
-1,1,4.36309
-1,1,4.365321
-1,1,4.367601
-1,1,4.369872
-1,1,4.372474
-1,1,4.375026
-1,1,4.377331
-1,1,4.379856
-1,1,4.382205
-1,1,4.384467
-1,1,4.38676
-1,1,4.389594
-1,1,4.392007
-1,1,4.394253
-1,1,4.396526
-1,1,4.39874
-1,1,4.400939
-3,2,4.406439
-1,1,4.408905
-1,1,4.411358
-1,1,4.41403
-1,1,4.417292
-1,1,4.419869
-1,1,4.422337
-1,1,4.426494
-1,1,4.4288
-1,1,4.431049
-1,1,4.433306
-1,1,4.435875
-1,1,4.43884
-1,1,4.443821
-1,1,4.446653
-1,1,4.449155
-1,1,4.451413
-1,1,4.453639
-1,1,4.455992
-1,1,4.458393
-1,1,4.460654
-1,1,4.462894
-1,1,4.465556
-1,1,4.46791
-1,1,4.470238
-1,1,4.473151
-1,1,4.475537
-1,1,4.477771
-1,1,4.479986
-1,1,4.482201
-1,1,4.484475
-1,1,4.486728
-1,1,4.488989
-1,1,4.491255
-1,1,4.49353
-1,1,4.49587
-1,1,4.498549
-1,1,4.500829
-1,1,4.503059
-1,1,4.506087
-1,1,4.508477
-1,1,4.510733
-1,1,4.513043
-1,1,4.515262
-1,1,4.517514
-1,1,4.51979
-1,1,4.522075
-1,1,4.524344
-1,1,4.526642
-1,1,4.529386
-1,1,4.531645
-1,1,4.533855
-1,1,4.536073
-1,1,4.538842
-1,1,4.541425
-1,1,4.543709
-1,1,4.545934
-1,1,4.548141
-1,1,4.550335
-1,1,4.552603
-1,1,4.554849
-1,1,4.557094
-1,1,4.559617
-1,1,4.562156
-1,1,4.564645
-1,1,4.567032
-1,1,4.56932
-1,1,4.571594
-1,1,4.573876
-1,1,4.576141
-1,1,4.578444
-1,1,4.580754
-1,1,4.583007
-1,1,4.585438
-1,1,4.587797
-1,1,4.590344
-1,1,4.592782
-1,1,4.595118
-1,1,4.597344
-1,1,4.599552
-1,1,4.601759
-1,1,4.60401
-1,1,4.60698
-1,1,4.609315
-1,1,4.611642
-1,1,4.613911
-1,1,4.616203
-1,1,4.61854
-1,1,4.621335
-1,1,4.624155
-1,1,4.626815
-1,1,4.629169
-1,1,4.631415
-1,1,4.63362
-1,1,4.635822
-1,1,4.638089
-1,1,4.640612
-1,1,4.642888
-1,1,4.645408
-1,1,4.647697
-1,1,4.650257
-1,1,4.65263
-1,1,4.655019
-1,1,4.65756
-1,1,4.659867
-1,1,4.66292
-1,1,4.665623
-1,1,4.668103
-1,1,4.672347
-1,1,4.674762
-1,1,4.677011
-1,1,4.679223
-1,1,4.681498
-1,1,4.683734
-1,1,4.686053
-1,1,4.690737
-1,1,4.696052
-1,1,4.69842
-1,1,4.70068
-1,1,4.702917
-1,1,4.705141
-1,1,4.707538
-1,1,4.709822
-1,1,4.712167
-1,1,4.714719
-1,1,4.716978
-1,1,4.7193
-1,1,4.721857
-1,1,4.72485
-1,1,4.727151
-1,1,4.729389
-1,1,4.731695
-1,1,4.734006
-1,1,4.736286
-1,1,4.738521
-1,1,4.740847
-1,1,4.743154
-1,1,4.745868
-1,1,4.748153
-1,1,4.750627
-1,1,4.753254
-1,1,4.756496
-1,1,4.758927
-1,1,4.761169
-1,1,4.763383
-1,1,4.765592
-1,1,4.767816
-1,1,4.770074
-1,1,4.772366
-1,1,4.774666
-1,1,4.777344
-1,1,4.779706
-1,1,4.781969
-1,1,4.784186
-1,1,4.786419
-1,1,4.789248
-1,1,4.791673
-1,1,4.793921
-1,1,4.796185
-1,1,4.798428
-1,1,4.800836
-1,1,4.803262
-1,1,4.805529
-1,1,4.807872
-1,1,4.81022
-1,1,4.812459
-1,1,4.814673
-1,1,4.81688
-1,1,4.819146
-1,1,4.821423
-1,1,4.823682
-1,1,4.825948
-1,1,4.828192
-1,1,4.830439
-1,1,4.832694
-1,1,4.834935
-1,1,4.837646
-1,1,4.840527
-1,1,4.842819
-2,2,4.847178
-1,1,4.849433
-1,1,4.85169
-1,1,4.853949
-1,1,4.856216
-1,1,4.858492
-1,1,4.86149
-1,1,4.864263
-1,1,4.866867
-1,1,4.86982
-1,1,4.872822
-1,1,4.875901
-1,1,4.878306
-1,1,4.880701
-1,1,4.883201
-1,1,4.885469
-1,1,4.887684
-1,1,4.889902
-1,1,4.892114
-1,1,4.894382
-1,1,4.896654
-1,1,4.898989
-1,1,4.901307
-1,1,4.903537
-1,1,4.905759
-1,1,4.90797
-2,2,4.914288
-1,1,4.916962
-1,1,4.919447
-1,1,4.923692
-1,1,4.926125
-1,1,4.928438
-1,1,4.930961
-1,1,4.93326
-1,1,4.935557
-1,1,4.938077
-1,1,4.943236
-1,1,4.946087
-1,1,4.948436
-1,1,4.950685
-1,1,4.952907
-1,1,4.955137
-1,1,4.957473
-1,1,4.959871
-1,1,4.962411
-1,1,4.964709
-1,1,4.967104
-1,1,4.969325
-1,1,4.97245
-3,2,4.977566
-1,1,4.979917
-1,1,4.982137
-1,1,4.984346
-1,1,4.986633
-1,1,4.988899
-2,2,4.993954
-1,1,4.996232
-1,1,4.998456
-1,1,5.000661
-1,1,5.002996
-2,2,5.008281
-1,1,5.010628
-1,1,5.012924
-1,1,5.015148
-1,1,5.017362
-1,1,5.019648
-1,1,5.021938
-1,1,5.024307
-1,1,5.026587
-1,1,5.028827
-1,1,5.031075
-1,1,5.033313
-1,1,5.035517
-1,1,5.037764
-1,1,5.040011
-1,1,5.042288
-1,1,5.044545
-1,1,5.046949
-1,1,5.049211
-1,1,5.051455
-1,1,5.054013
-1,1,5.056329
-1,1,5.058738
-1,1,5.061079
-1,1,5.063329
-1,1,5.065541
-1,1,5.067752
-1,1,5.070006
-1,1,5.073042
-1,1,5.075413
-1,1,5.077722
-1,1,5.080119
-1,1,5.082374
-1,1,5.084931
-1,1,5.087713
-1,1,5.090718
-1,1,5.093071
-1,1,5.095305
-1,1,5.097511
-1,1,5.099707
-1,1,5.101963
-1,1,5.10422
-1,1,5.10671
-1,1,5.109233
