# {"t_start": 1549861943.3181171, "env_id": "graph-search-v0"} 
r,l,t
-2,2,0.708558
-4,4,0.710613
-1,1,0.711151
-4,3,0.712673
-74,47,0.735152
-13,10,0.740102
-4,3,0.741701
-7,7,0.747008
-12,10,0.752603
-11,8,0.756557
-70,42,0.784455
-2,2,0.785446
-8,5,0.788051
-6,5,0.790414
-2,2,0.791377
-29,22,0.80335
-7,5,0.805748
-11,8,0.809469
-18,13,0.815979
-38,24,0.829341
-6,5,0.832802
-2,2,0.833815
-29,19,0.842817
-27,18,0.851217
-16,13,0.857311
-12,8,0.861047
-4,3,0.862483
-16,11,0.867782
-10,8,0.871607
-8,5,0.874001
-42,26,0.887053
-2,2,0.88805
-8,5,0.890412
-16,11,0.895677
-21,17,0.904344
-23,16,0.912596
-4,4,0.914768
-20,12,0.920804
-2,2,0.921794
-1,1,0.922305
-14,8,0.926067
-10,7,0.929576
-9,7,0.933351
-17,11,0.939934
-2,2,0.942284
-1,1,0.943385
-10,6,0.947944
-33,22,0.959224
-20,12,0.964902
-16,10,0.970138
-32,22,0.983132
-64,38,1.00211
-6,5,1.004797
-31,20,1.014685
-93,52,1.03958
-39,26,1.052688
-8,5,1.055355
-35,22,1.066329
-51,28,1.079897
-74,42,1.100424
-152,82,1.141978
-74,39,1.161919
-170,90,1.206042
-128,66,1.332865
-27,15,1.366725
-3,3,1.3734
-1,1,1.37619
-1,1,1.378523
-1,1,1.381005
-1,1,1.383632
-1,1,1.38651
-1,1,1.389353
-1,1,1.391861
-1,1,1.394296
-1,1,1.39662
-1,1,1.398819
-1,1,1.401086
-1,1,1.403339
-1,1,1.405875
-1,1,1.408227
-1,1,1.410456
-1,1,1.412679
-1,1,1.415608
-1,1,1.418021
-1,1,1.420315
-1,1,1.422541
-1,1,1.424749
-1,1,1.427011
-1,1,1.429265
-1,1,1.431739
-1,1,1.434019
-1,1,1.436296
-1,1,1.438566
-1,1,1.440957
-1,1,1.44323
-1,1,1.446356
-1,1,1.449557
-1,1,1.452199
-1,1,1.454661
-1,1,1.457471
-1,1,1.459902
-1,1,1.462237
-1,1,1.464544
-1,1,1.466779
-1,1,1.469307
-1,1,1.471571
-1,1,1.473794
-1,1,1.476017
-1,1,1.478294
-1,1,1.480888
-1,1,1.483691
-1,1,1.486009
-1,1,1.488338
-1,1,1.490693
-1,1,1.494065
-1,1,1.497154
-1,1,1.499978
-1,1,1.502478
-1,1,1.506708
-1,1,1.508988
-1,1,1.512108
-1,1,1.514921
-1,1,1.520175
-1,1,1.522824
-1,1,1.525071
-1,1,1.527293
-1,1,1.529502
-1,1,1.531771
-1,1,1.534333
-1,1,1.536749
-1,1,1.538988
-1,1,1.541204
-1,1,1.543421
-1,1,1.545704
-1,1,1.548936
-1,1,1.551512
-1,1,1.55377
-1,1,1.555983
-1,1,1.558182
-1,1,1.560373
-1,1,1.562626
-1,1,1.564875
-1,1,1.567719
-1,1,1.570215
-1,1,1.57255
-2,2,1.577219
-1,1,1.579544
-1,1,1.58179
-1,1,1.584004
-1,1,1.586218
-1,1,1.588507
-1,1,1.590774
-1,1,1.593045
-1,1,1.595327
-1,1,1.597916
-1,1,1.600219
-1,1,1.602448
-1,1,1.604678
-1,1,1.606904
-1,1,1.60912
-1,1,1.611379
-1,1,1.614061
-1,1,1.61737
-2,2,1.621836
-2,2,1.626206
-2,2,1.631241
-2,2,1.636326
-2,2,1.64112
-2,2,1.645654
-2,2,1.650137
-2,2,1.65469
-2,2,1.659671
-2,2,1.66477
-2,2,1.669443
-2,2,1.67383
-2,2,1.678274
-2,2,1.682763
-2,2,1.688045
-2,2,1.694874
-2,2,1.701729
-2,2,1.707582
-4,3,1.714167
-2,2,1.718575
-2,2,1.724321
-2,2,1.728711
-4,3,1.736601
-2,2,1.741303
-2,2,1.745985
-2,2,1.750566
-2,2,1.755246
-2,2,1.75961
-2,2,1.76423
-4,3,1.77176
-2,2,1.776163
-2,2,1.780619
-2,2,1.785601
-2,2,1.790028
-2,2,1.794462
-2,2,1.799895
-2,2,1.804808
-2,2,1.809217
-2,2,1.813926
-2,2,1.818746
-2,2,1.823168
-2,2,1.827839
-2,2,1.832656
-2,2,1.837376
-2,2,1.842962
-2,2,1.847903
-5,5,1.861563
-2,2,1.868862
-2,2,1.874336
-2,2,1.879093
-2,2,1.884979
-2,2,1.889619
-2,2,1.894309
-2,2,1.898934
-2,2,1.906828
-4,3,1.915098
-2,2,1.919858
-2,2,1.9245
-2,2,1.929193
-2,2,1.933958
-2,2,1.938388
-2,2,1.942926
-2,2,1.947422
-2,2,1.951844
-2,2,1.956624
-2,2,1.961292
-2,2,1.965906
-2,2,1.970544
-2,2,1.975224
-2,2,1.979594
-2,2,1.984579
-2,2,1.98912
-4,3,1.995971
-2,2,2.000604
-2,2,2.005665
-4,3,2.012412
-2,2,2.017437
-2,2,2.021895
-2,2,2.026313
-2,2,2.030796
-2,2,2.036363
-2,2,2.041272
-2,2,2.045653
-4,4,2.055245
-2,2,2.059638
-2,2,2.064147
-2,2,2.068571
-2,2,2.0729
-4,4,2.081905
-2,2,2.086257
-2,2,2.090795
-2,2,2.095622
-2,2,2.100905
-2,2,2.105394
-2,2,2.109752
-2,2,2.114209
-2,2,2.118675
-2,2,2.123127
-2,2,2.127878
-2,2,2.133062
-2,2,2.139175
-2,2,2.144144
-2,2,2.148643
-2,2,2.154106
-2,2,2.159108
-2,2,2.164123
-2,2,2.169015
-2,2,2.173431
-2,2,2.17777
-2,2,2.1822
-2,2,2.186653
-2,2,2.191374
-2,2,2.196361
-7,6,2.20985
-1,1,2.212102
-1,1,2.214362
-1,1,2.216661
-1,1,2.219518
-1,1,2.221998
-1,1,2.224469
-1,1,2.22673
-1,1,2.228941
-1,1,2.231438
-1,1,2.234119
-1,1,2.236482
-1,1,2.238813
-1,1,2.241171
-2,2,2.245935
-2,2,2.250827
-2,2,2.255266
-2,2,2.259597
-2,2,2.264612
-2,2,2.269559
-7,7,2.285566
-1,1,2.287789
-1,1,2.290013
-1,1,2.292566
-1,1,2.294938
-1,1,2.297209
-1,1,2.300104
-1,1,2.302744
-1,1,2.305254
-1,1,2.307738
-1,1,2.310159
