# {"t_start": 1549913956.568608, "env_id": "graph-search-v0"} 
r,l,t
-2198,1131,1.626297
-2,2,1.631044
-2,2,1.635899
-4,3,1.643436
-2,2,1.648904
-2,2,1.653661
-2,2,1.658409
-2,2,1.663098
-2,2,1.667844
-526,431,2.774061
-20,11,2.80116
-2,2,2.806033
-2,2,2.810753
-5,5,2.822778
-7,6,2.839315
-2,2,2.84595
-2,2,2.85134
-2,2,2.856905
-2,2,2.863269
-2,2,2.868989
-2,2,2.873671
-2,2,2.878365
-2,2,2.883028
-2,2,2.888262
-2,2,2.892996
-2,2,2.898469
-2,2,2.904461
-2,2,2.909779
-2,2,2.916507
-2,2,2.926483
-2,2,2.935337
-2,2,2.940463
-2,2,2.945165
-2,2,2.950456
-2,2,2.95585
-2,2,2.962249
-2,2,2.969552
-2,2,2.974355
-2,2,2.981616
-2,2,2.988073
-2,2,2.993091
-2,2,2.998548
-2,2,3.003217
-4,3,3.010243
-2,2,3.015568
-2,2,3.020644
-2,2,3.026513
-2,2,3.03427
-2,2,3.039006
-2,2,3.044053
-2,2,3.051639
-2,2,3.056237
-2,2,3.061509
-2,2,3.066899
-2,2,3.072736
-2,2,3.078165
-2,2,3.083422
-2,2,3.089299
-2,2,3.093888
-2,2,3.101307
-2,2,3.106239
-2,2,3.110827
-2,2,3.116226
-2,2,3.120905
-2,2,3.125471
-28,28,3.196562
-2,2,3.202111
-3,3,3.209552
-3,3,3.219381
-3,3,3.22721
-3,3,3.236375
-3,3,3.243981
-97,50,3.384615
-3,3,3.393371
-3,3,3.401002
-3,3,3.407958
-3,3,3.415107
-3,3,3.422397
-3,3,3.430164
-5,5,3.446746
-3,3,3.454975
-3,3,3.462057
-3,3,3.469809
-3,3,3.479624
-3,3,3.487126
-3,3,3.495722
-3,3,3.505562
-3,3,3.512635
-3,3,3.520188
-144,80,3.723259
-3,3,3.730374
-3,3,3.737921
-3,3,3.74563
-3,3,3.753111
-3,3,3.760522
-3,3,3.768427
-3,3,3.775386
-3,3,3.782888
-3,3,3.790004
-3,3,3.798225
-3,3,3.806235
-3,3,3.814283
-3,3,3.821317
-3,3,3.829613
-3,3,3.839368
-3,3,3.848254
-3,3,3.856715
-3,3,3.865058
-3,3,3.872078
-3,3,3.879637
-3,3,3.886785
-3,3,3.894751
-3,3,3.909789
