% time spent exploring,episodes,mean 100 episode reward,steps
2,10,-246.2,1147
2,20,-146.6,1612
2,30,-96.8,1632
2,40,-72.5,1652
2,50,-58.1,1673
2,60,-48.6,1693
2,70,-42.3,1741
2,80,-38.5,1818
2,90,-34.5,1850
2,100,-32.8,1957
2,110,-10.6,1987
