# {"t_start": 1549913790.935113, "env_id": "graph-search-v0"} 
r,l,t
-101,70,0.754402
-2105,1079,1.655382
-30,20,1.70842
-4,4,1.719388
-546,465,2.959015
-1,1,2.96155
-1,1,2.964083
-1,1,2.966673
-1,1,2.969571
-1,1,2.972571
-1,1,2.97525
-1,1,2.978318
-1,1,2.980977
-3,3,2.988422
-1,1,2.990938
-1,1,2.993534
-1,1,2.996115
-1,1,2.998704
-1,1,3.001401
-1,1,3.004249
-1,1,3.007155
-1,1,3.010478
-1,1,3.013299
-1,1,3.016076
-1,1,3.020475
-1,1,3.023076
-1,1,3.025805
-1,1,3.03094
-1,1,3.033971
-1,1,3.036831
-1,1,3.039467
-1,1,3.042002
-1,1,3.044962
-1,1,3.047689
-1,1,3.050279
-126,65,3.231397
-1,1,3.234123
-1,1,3.236656
-1,1,3.239201
-1,1,3.242263
-1,1,3.244942
-1,1,3.248889
-1,1,3.254089
-1,1,3.25749
-1,1,3.260307
-1,1,3.263125
-1,1,3.266072
-1,1,3.269343
-1,1,3.271938
-1,1,3.274782
-1,1,3.277931
-1,1,3.281092
-1,1,3.28393
-1,1,3.288306
-1,1,3.290901
-1,1,3.294898
-1,1,3.298981
-1,1,3.301549
-1,1,3.304122
-1,1,3.306831
-1,1,3.309461
-1,1,3.312078
-1,1,3.314616
-1,1,3.317422
-1,1,3.320006
-1,1,3.322543
-1,1,3.32508
-1,1,3.328418
-1,1,3.331031
-1,1,3.333943
-1,1,3.336681
-1,1,3.339223
-1,1,3.342239
-1,1,3.345472
-1,1,3.348323
-1,1,3.35282
-1,1,3.355449
-1,1,3.357996
-1,1,3.362271
-1,1,3.366975
-1,1,3.369638
-1,1,3.372852
-1,1,3.375507
-1,1,3.378145
-1,1,3.380687
-1,1,3.38357
-1,1,3.386158
-1,1,3.388695
-1,1,3.391232
-1,1,3.394879
-1,1,3.397573
-1,1,3.400346
-1,1,3.403807
-2,2,3.410821
-1,1,3.413935
-1,1,3.416706
-1,1,3.419418
-1,1,3.422076
-1,1,3.425367
-109,57,3.5779
-1,1,3.581062
-1,1,3.583685
-1,1,3.586292
-1,1,3.588863
-1,1,3.591412
-1,1,3.593974
-1,1,3.596545
-1,1,3.599076
-1,1,3.60172
-1,1,3.604482
-1,1,3.607054
-1,1,3.609671
-1,1,3.61238
-1,1,3.61493
-1,1,3.617776
-1,1,3.620447
-1,1,3.623107
-1,1,3.625754
-1,1,3.630138
-1,1,3.634015
-1,1,3.636923
-1,1,3.640144
-1,1,3.643653
-1,1,3.646911
-1,1,3.651277
-1,1,3.653879
-1,1,3.656421
-1,1,3.659118
-1,1,3.664967
-1,1,3.668029
-1,1,3.67066
-1,1,3.673231
-1,1,3.675802
-1,1,3.678548
-1,1,3.681444
-1,1,3.68468
-1,1,3.687688
-1,1,3.690314
-1,1,3.693152
-1,1,3.696043
-1,1,3.698705
-1,1,3.701324
-1,1,3.705634
-1,1,3.708507
-1,1,3.71349
-1,1,3.716129
-1,1,3.718672
-1,1,3.721199
-1,1,3.724008
-1,1,3.729096
-1,1,3.733378
-1,1,3.735935
-1,1,3.738422
-1,1,3.740888
-1,1,3.743355
-1,1,3.74603
-1,1,3.74875
-1,1,3.751465
-1,1,3.754292
-1,1,3.757103
-1,1,3.760145
-1,1,3.763003
-1,1,3.765841
-1,1,3.768505
-1,1,3.772294
-1,1,3.774935
-1,1,3.778755
-1,1,3.782418
-1,1,3.785241
-1,1,3.788129
-1,1,3.791135
-1,1,3.793691
-1,1,3.797076
-1,1,3.799806
-1,1,3.802542
-1,1,3.805246
-1,1,3.807714
-1,1,3.810177
-1,1,3.812636
-1,1,3.815442
-1,1,3.818
-1,1,3.8205
-1,1,3.823274
-1,1,3.826767
-1,1,3.829472
-1,1,3.833187
-1,1,3.835708
-1,1,3.83821
-1,1,3.84068
-1,1,3.843859
-1,1,3.848257
-1,1,3.850958
-1,1,3.85346
-1,1,3.856028
-1,1,3.858603
-1,1,3.861864
-1,1,3.864377
-1,1,3.866906
-1,1,3.869379
-1,1,3.872111
-1,1,3.874663
-1,1,3.877624
-1,1,3.880458
-1,1,3.883105
-1,1,3.886778
-1,1,3.889338
-1,1,3.89198
-1,1,3.896692
-1,1,3.900319
-1,1,3.903124
-1,1,3.905856
-1,1,3.908597
-1,1,3.911847
-1,1,3.914373
-1,1,3.91685
-1,1,3.919321
-1,1,3.921785
-1,1,3.924248
-1,1,3.926717
-1,1,3.929498
-1,1,3.932263
-1,1,3.93485
-1,1,3.937436
-1,1,3.940303
-1,1,3.94297
-1,1,3.946757
-1,1,3.94935
-1,1,3.951845
-1,1,3.954315
-1,1,3.957038
-1,1,3.960649
-1,1,3.964983
-1,1,3.967472
-1,1,3.96998
-1,1,3.972488
-1,1,3.974954
-1,1,3.97769
-1,1,3.980204
-1,1,3.982687
-1,1,3.985423
-1,1,3.987975
-1,1,3.9905
-1,1,3.994113
-1,1,3.997204
