% time spent exploring,episodes,mean 100 episode reward,steps
2,100,-29.1,1699
2,200,-2.7,1884
2,300,-1.8,2025
2,400,-1.0,2126
2,500,-1.1,2232
2,600,-1.0,2334
2,700,-1.0,2437
2,800,-1.1,2546
2,900,-1.0,2647
2,1000,-1.0,2749
2,1100,-1.0,2851
2,1200,-3.1,3060
2,1300,-1.0,3164
2,1400,-2.0,3316
2,1500,-1.0,3418
2,1600,-1.0,3519
2,1700,-1.1,3624
2,1800,-1.0,3726
2,1900,-1.0,3828
2,2000,-1.0,3930
2,2100,-1.0,4033
2,2200,-1.0,4134
2,2300,-1.0,4234
2,2400,-1.1,4339
2,2500,-1.0,4440
2,2600,-1.0,4540
2,2700,-1.0,4641
2,2800,-1.0,4744
2,2900,-1.5,4871
2,3000,-1.0,4973
2,3100,-1.2,5087
2,3200,-1.1,5191
2,3300,-1.0,5293
2,3400,-1.3,5413
2,3500,-1.0,5514
2,3600,-1.0,5614
2,3700,-2.8,5807
2,3800,-1.1,5915
2,3900,-1.1,6021
2,4000,-1.0,6123
2,4100,-1.0,6225
2,4200,-1.0,6325
2,4300,-1.0,6426
2,4400,-1.0,6528
2,4500,-1.0,6628
2,4600,-1.0,6730
2,4700,-1.0,6831
2,4800,-1.0,6932
2,4900,-1.0,7037
2,5000,-1.0,7137
2,5100,-1.0,7238
2,5200,-1.0,7340
2,5300,-1.0,7440
2,5400,-1.0,7541
2,5500,-1.0,7644
2,5600,-1.0,7746
2,5700,-1.0,7848
2,5800,-1.0,7948
2,5900,-1.0,8049
2,6000,-1.1,8154
2,6100,-1.1,8260
2,6200,-1.0,8364
2,6300,-1.0,8466
2,6400,-1.0,8568
2,6500,-1.1,8673
2,6600,-1.0,8777
2,6700,-1.0,8878
2,6800,-1.0,8979
2,6900,-1.0,9081
2,7000,-1.0,9181
2,7100,-1.1,9285
2,7200,-1.5,9414
2,7300,-1.1,9519
2,7400,-1.1,9627
2,7500,-1.0,9729
2,7600,-1.0,9830
2,7700,-1.0,9932
