# {"t_start": 1549866578.168112, "env_id": "graph-search-v0"} 
r,l,t
-461,261,0.868779
-2169,1248,2.780535
-27,16,2.827247
-5,5,2.842831
-76,42,2.967458
-2,2,2.973134
-2,2,2.978808
-2,2,2.984311
-2,2,2.990116
-2,2,2.995941
-2,2,3.001699
-2,2,3.007432
-4,4,3.018982
-4,4,3.031676
-4,4,3.043336
-4,4,3.054976
-1,1,3.058256
-1,1,3.061269
-1,1,3.064166
-1,1,3.066987
-1,1,3.070074
-1,1,3.073405
-1,1,3.076313
-1,1,3.079119
-1,1,3.081905
-1,1,3.084777
-1,1,3.08782
-1,1,3.093185
-1,1,3.097766
-1,1,3.101249
-1,1,3.104313
-1,1,3.107368
-1,1,3.110207
-1,1,3.113033
-1,1,3.115827
-1,1,3.118613
-1,1,3.121464
-1,1,3.124337
-1,1,3.127119
-1,1,3.129967
-1,1,3.133016
-1,1,3.135846
-1,1,3.138641
-1,1,3.141994
-1,1,3.145167
-1,1,3.148222
-1,1,3.151371
-1,1,3.15432
-1,1,3.157229
-1,1,3.160236
-1,1,3.163451
-1,1,3.166329
-1,1,3.169142
-1,1,3.172047
-1,1,3.176327
-1,1,3.179442
-1,1,3.182488
-1,1,3.185295
-1,1,3.188196
-1,1,3.191084
-1,1,3.194189
-1,1,3.197102
-1,1,3.199915
-1,1,3.202719
-1,1,3.205524
-1,1,3.208326
-1,1,3.211119
-1,1,3.21392
-1,1,3.216883
-1,1,3.219917
-1,1,3.223028
-1,1,3.225962
-1,1,3.228794
-1,1,3.231603
-1,1,3.234539
-1,1,3.237451
-1,1,3.240632
-1,1,3.243868
-1,1,3.246977
-1,1,3.250033
-1,1,3.252971
-1,1,3.256468
-25,14,3.299402
-3,2,3.305312
-1,1,3.308159
-1,1,3.310972
-1,1,3.313787
-1,1,3.316645
-1,1,3.319528
-3,2,3.325453
-1,1,3.328291
-1,1,3.331182
-1,1,3.334001
-1,1,3.336824
-1,1,3.339727
-1,1,3.342666
-1,1,3.345598
-1,1,3.348709
-1,1,3.351605
-1,1,3.357184
-1,1,3.360885
-1,1,3.36406
-1,1,3.367026
-1,1,3.369949
-1,1,3.372884
-1,1,3.375842
-1,1,3.378815
-1,1,3.38199
-168,86,3.652652
-1,1,3.655894
-1,1,3.659794
-1,1,3.662728
-1,1,3.665977
-1,1,3.668971
-1,1,3.671911
-1,1,3.675789
-1,1,3.678708
