% time spent exploring,episodes,mean 100 episode reward,steps
2,10,-297.6,1538
2,20,-141.7,1550
2,30,-93.2,1560
2,40,-69.5,1570
2,50,-55.6,1580
2,60,-46.3,1591
2,70,-39.8,1602
2,80,-34.9,1612
2,90,-31.2,1628
2,100,-28.1,1638
2,110,-1.2,1648
2,120,-1.1,1658
2,130,-1.1,1668
2,140,-1.2,1680
2,150,-1.2,1690
2,160,-1.2,1700
2,170,-1.1,1710
2,180,-1.1,1720
2,190,-1.0,1730
2,200,-1.0,1740
2,210,-1.0,1750
2,220,-1.0,1760
2,230,-1.0,1770
2,240,-1.0,1780
2,250,-1.0,1791
2,260,-1.0,1801
2,270,-1.0,1811
2,280,-1.0,1821
2,290,-1.0,1831
2,300,-1.0,1841
2,310,-1.0,1851
2,320,-1.0,1862
2,330,-1.0,1872
2,340,-1.0,1882
2,350,-1.0,1892
2,360,-1.0,1902
2,370,-1.0,1912
2,380,-1.0,1922
2,390,-1.0,1932
2,400,-1.0,1942
2,410,-1.0,1952
2,420,-1.0,1962
2,430,-1.0,1973
2,440,-1.0,1984
2,450,-1.0,1994
