# {"t_start": 1549913439.040677, "env_id": "graph-search-v0"} 
r,l,t
-42,26,0.815362
-61,40,0.837992
-2569,1467,2.649284
-1,1,2.651634
-1,1,2.65395
-1,1,2.656237
-1,1,2.658607
-1,1,2.661035
-1,1,2.663442
-1,1,2.66622
-1,1,2.669145
-1,1,2.671768
-3,2,2.676392
-1,1,2.678814
-3,2,2.683498
-1,1,2.685842
-1,1,2.688178
-1,1,2.690602
-1,1,2.692977
-1,1,2.695456
-1,1,2.69795
-1,1,2.700643
-1,1,2.703883
-1,1,2.706522
-1,1,2.709146
-1,1,2.711641
-1,1,2.715887
-1,1,2.718246
-1,1,2.720558
-1,1,2.723142
-1,1,2.725735
-1,1,2.728756
-1,1,2.731126
-1,1,2.73346
-1,1,2.735867
-1,1,2.738355
-1,1,2.741125
-1,1,2.745109
-1,1,2.747916
-1,1,2.750762
-1,1,2.753441
-1,1,2.755881
-1,1,2.758753
-1,1,2.761896
-1,1,2.76481
-1,1,2.769427
-1,1,2.772408
-1,1,2.77517
-1,1,2.778313
-1,1,2.780921
-1,1,2.783336
-1,1,2.785677
-3,2,2.790237
-1,1,2.794934
-1,1,2.799199
-1,1,2.802264
-1,1,2.804846
-1,1,2.80802
-1,1,2.810626
-1,1,2.813175
-1,1,2.81633
-1,1,2.81946
-1,1,2.822097
-1,1,2.824606
-1,1,2.828823
-1,1,2.831219
-1,1,2.833552
-3,2,2.84074
-1,1,2.84574
-1,1,2.848966
-1,1,2.85161
-1,1,2.854155
-1,1,2.856571
-1,1,2.858963
-1,1,2.861415
-1,1,2.864835
-1,1,2.868466
-1,1,2.871222
-1,1,2.873799
-1,1,2.877264
-9,6,2.894566
-1,1,2.897079
-1,1,2.899838
-1,1,2.902347
-1,1,2.904724
-1,1,2.907065
-1,1,2.909645
-1,1,2.912741
-3,2,2.917395
-1,1,2.9199
-1,1,2.92251
-1,1,2.924971
-1,1,2.927336
-1,1,2.929672
-1,1,2.932342
-1,1,2.93477
-1,1,2.937138
-1,1,2.939479
-1,1,2.941822
-1,1,2.944642
-1,1,2.947199
-1,1,2.94962
-1,1,2.952023
-1,1,2.954621
-1,1,2.957838
-1,1,2.96051
-1,1,2.963111
-1,1,2.967686
-1,1,2.971178
-1,1,2.974579
-1,1,2.979627
-1,1,2.983632
-1,1,2.986128
-1,1,2.988486
-1,1,2.990836
-1,1,2.993395
-1,1,2.996076
-1,1,2.998515
-1,1,3.001071
-1,1,3.003618
-1,1,3.00606
-1,1,3.0089
-1,1,3.011981
-1,1,3.014759
-1,1,3.018916
-1,1,3.021672
-1,1,3.024135
-1,1,3.027606
-1,1,3.030028
-3,2,3.034938
-1,1,3.037261
-1,1,3.039553
-1,1,3.041873
-1,1,3.044225
-1,1,3.046554
-1,1,3.048852
-3,2,3.053371
-1,1,3.055789
-1,1,3.05841
