% time spent exploring,episodes,mean 100 episode reward,steps
2,10,-314.7,1642
2,20,-150.1,1662
2,30,-99.0,1682
2,40,-74.2,1702
2,50,-59.5,1723
2,60,-49.8,1744
2,70,-42.8,1764
2,80,-37.7,1785
2,90,-33.7,1805
2,100,-30.5,1825
2,110,-2.1,1847
2,120,-2.1,1867
2,130,-2.1,1887
2,140,-2.1,1907
2,150,-2.1,1928
2,160,-2.1,1948
2,170,-2.1,1969
2,180,-2.1,1989
