# {"t_start": 1549913875.916022, "env_id": "graph-search-v0"} 
r,l,t
-89,60,0.733539
-1490,779,1.114681
-1221,782,2.840024
-22,12,2.871641
-2,2,2.876978
-2,2,2.882003
-2,2,2.887871
-2,2,2.893107
-2,2,2.898652
-2,2,2.904122
-2,2,2.909057
-2,2,2.914022
-2,2,2.919134
-2,2,2.924095
-2,2,2.929268
-2,2,2.934299
-2,2,2.940579
-2,2,2.94606
-2,2,2.953019
-2,2,2.958202
-2,2,2.963224
-2,2,2.971326
-2,2,2.976359
-2,2,2.981627
-2,2,2.986925
-2,2,2.993807
-2,2,3.000075
-2,2,3.006941
-2,2,3.012282
-2,2,3.02072
-2,2,3.025971
-2,2,3.030833
-2,2,3.035833
-2,2,3.040656
-2,2,3.045543
-2,2,3.050382
-2,2,3.055874
-2,2,3.062134
-2,2,3.070103
-4,3,3.07803
-2,2,3.08367
-2,2,3.089413
-2,2,3.094768
-2,2,3.100125
-2,2,3.105388
-2,2,3.111296
-2,2,3.118244
-2,2,3.123182
-2,2,3.128003
-2,2,3.135801
-4,3,3.143368
-2,2,3.148905
-2,2,3.153806
-2,2,3.15868
-2,2,3.163654
-2,2,3.16922
-2,2,3.175509
-2,2,3.180894
-2,2,3.187726
-2,2,3.192823
-2,2,3.198965
-2,2,3.203971
-2,2,3.208809
-2,2,3.21364
-2,2,3.218946
-2,2,3.22415
-2,2,3.22994
-2,2,3.236787
-2,2,3.241676
-2,2,3.24703
-2,2,3.254012
-2,2,3.258957
-2,2,3.2638
-2,2,3.268702
-4,3,3.275964
-2,2,3.281402
-2,2,3.287727
-2,2,3.292759
-2,2,3.297804
-2,2,3.305289
-2,2,3.310216
-2,2,3.315089
-2,2,3.320209
-2,2,3.325098
-2,2,3.330417
-2,2,3.335673
-2,2,3.341215
-2,2,3.347995
-2,2,3.355062
-2,2,3.360306
-2,2,3.365731
-2,2,3.370675
-2,2,3.375546
-2,2,3.380438
-2,2,3.385331
-2,2,3.394071
-2,2,3.400858
-2,2,3.407886
-2,2,3.413237
-2,2,3.420522
-2,2,3.425466
-6,4,3.435329
-2,2,3.440421
-2,2,3.44534
-2,2,3.451345
-2,2,3.456821
-2,2,3.462997
-2,2,3.470526
-2,2,3.475484
-2,2,3.481316
-2,2,3.486565
-2,2,3.491462
-2,2,3.496323
-2,2,3.501636
-2,2,3.507402
-2,2,3.513778
-2,2,3.519141
-2,2,3.525261
-2,2,3.530466
-2,2,3.538479
-2,2,3.543385
-2,2,3.548661
-2,2,3.553724
-2,2,3.558658
-2,2,3.564274
-2,2,3.570436
-2,2,3.577049
-2,2,3.585022
-2,2,3.590383
-2,2,3.595721
-2,2,3.600686
-2,2,3.606018
-2,2,3.610906
-2,2,3.616373
-2,2,3.621495
-2,2,3.626508
-2,2,3.632191
-2,2,3.638471
-2,2,3.643371
-2,2,3.64996
-3,3,3.658679
-2,2,3.663544
-2,2,3.669131
-2,2,3.676134
-2,2,3.681831
-2,2,3.68732
-2,2,3.693587
-2,2,3.699601
-2,2,3.705488
-2,2,3.710726
-2,2,3.716281
-2,2,3.722475
-2,2,3.727523
-2,2,3.733413
-2,2,3.738715
-2,2,3.743928
-2,2,3.749275
-2,2,3.755391
-2,2,3.760281
-2,2,3.767087
-2,2,3.773349
-2,2,3.778236
-2,2,3.783347
-4,3,3.790616
-2,2,3.795474
-2,2,3.801677
-2,2,3.807983
-2,2,3.813293
-2,2,3.82087
-2,2,3.826498
-2,2,3.832029
-2,2,3.841101
-2,2,3.846793
-2,2,3.852771
-2,2,3.858152
-2,2,3.863551
-2,2,3.86978
-2,2,3.874725
-2,2,3.879918
-2,2,3.887708
-2,2,3.892615
-2,2,3.897485
-2,2,3.907019
-2,2,3.912666
